Название,Автор,Жанр,Описание,Дата издания,Мировой рейтинг
Путешествие красной розы,Владимир Набоков,Классика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1818,1.9
Мир черного ворона,Джонатан Франзен,Детектив,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях детектив.",1861,3.6
Жизнь шести чувств,Людмила Улицкая,Биография,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1967,3.5
Замок,Мо Янь,Мистика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1804,3.7
Дар параллельных вселенных,Джоан Роулинг,Психология,"Книга, которая изменила представление о жанре психология и принесла Джоан Роулинг мировую известность.",1840,3.3
Мечта белого лотоса,Уильям Фолкнер,Сказка,"Произведение, в котором Уильям Фолкнер раскрывает сложные социальные проблемы через увлекательное повествование.",1868,4.5
Превращение,Сергей Есенин,Боевик,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1910,3.5
Луна темной души,Донна Тартт,Поэзия,"Одно из лучших произведений Донна Тартт, ставшее классикой жанра поэзия.",1934,4.1
Легенда равноденствия,Джонатан Франзен,Фантастика,Книга 'Легенда равноденствия' - это глубокое исследование человеческой природы через призму фантастика.,1944,4.6
Ненависть великих открытий,Марк Твен,Психология,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1825,3.5
Превращение,Михаил Шолохов,Приключения,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Михаил Шолохов.,1852,4.5
Сон жемчужной реки,Томас Манн,Триллер,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Томас Манн.,1871,4.6
Война ста лет,Стивен Кинг,Философия,"Произведение, в котором Стивен Кинг раскрывает сложные социальные проблемы через увлекательное повествование.",2001,3.4
Шутка,Марина Цветаева,Научная фантастика,"Книга, которая изменила представление о жанре научная фантастика и принесла Марина Цветаева мировую известность.",1827,1.2
Игра янтарного солнца,Михаил Булгаков,Классика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях классика.",2022,4.4
Звезда новолуния,Марк Твен,Триллер,"История о любви, предательстве и искуплении, мастерски рассказанная Марк Твен.",1849,2.0
Превращение,Умберто Эко,История,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях история.",1956,3.4
Империя несбывшихся желаний,Кадзуо Исигуро,Поэзия,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1879,3.4
Метаморфозы,Федор Достоевский,Ужасы,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Федор Достоевский.,1892,3.1
Коллекционер,Вирджиния Вулф,Философия,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1884,4.3
Эйфория,Татьяна Толстая,Боевик,"Одно из лучших произведений Татьяна Толстая, ставшее классикой жанра боевик.",1944,3.2
Бесы,Владимир Набоков,Ужасы,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1861,4.5
Приключения золотого века,Антон Чехов,Приключения,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2001,1.8
Путешествие тысячи дней,Джонатан Франзен,Роман,"Одно из лучших произведений Джонатан Франзен, ставшее классикой жанра роман.",1942,5.0
Гора новолуния,Михаил Булгаков,Биография,"Книга, которая изменила представление о жанре биография и принесла Михаил Булгаков мировую известность.",1969,3.1
Полночь солнцестояния,Маргарет Этвуд,Детектив,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1985,4.4
Тайна девяти кругов,Николай Гоголь,Научная фантастика,"История о любви, предательстве и искуплении, мастерски рассказанная Николай Гоголь.",1907,4.1
Падение,Владимир Набоков,Мистика,"Захватывающее произведение Владимир Набоков в жанре мистика, рассказывающее о приключениях главных героев.",1872,4.8
Тайна белого лотоса,Марк Твен,Фэнтези,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях фэнтези.",1921,4.6
Игра мгновения,Габриэль Гарсиа Маркес,Фэнтези,"Произведение, в котором Габриэль Гарсиа Маркес раскрывает сложные социальные проблемы через увлекательное повествование.",1973,4.5
Солнце темной души,Людмила Улицкая,Биография,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1826,1.2
Сад красной розы,Джон Стейнбек,Классика,"История о любви, предательстве и искуплении, мастерски рассказанная Джон Стейнбек.",1965,4.2
Мечта одинокого сердца,Франц Кафка,Философия,"Захватывающее произведение Франц Кафка в жанре философия, рассказывающее о приключениях главных героев.",1939,3.4
Замок,Томас Манн,Детектив,"Захватывающее произведение Томас Манн в жанре детектив, рассказывающее о приключениях главных героев.",1975,4.6
Солнце заката,Чарльз Диккенс,Поэзия,"Одно из лучших произведений Чарльз Диккенс, ставшее классикой жанра поэзия.",1950,4.5
Дом рассвета,Пауло Коэльо,Поэзия,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Пауло Коэльо.,1899,3.0
Шум,Михаил Шолохов,Комедия,"История о любви, предательстве и искуплении, мастерски рассказанная Михаил Шолохов.",2012,2.7
Имя,Джон Стейнбек,Психология,"История о любви, предательстве и искуплении, мастерски рассказанная Джон Стейнбек.",1998,3.1
Жизнь хрустального замка,Марк Твен,История,Книга 'Жизнь хрустального замка' - это глубокое исследование человеческой природы через призму история.,1906,3.6
Падение,Чимаманда Нгози Адичи,Драма,Книга 'Падение' - это глубокое исследование человеческой природы через призму драма.,1834,3.4
Реквием,Марина Цветаева,Научная фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная фантастика.",1904,3.4
Река заката,Венедикт Ерофеев,Ужасы,"Произведение, в котором Венедикт Ерофеев раскрывает сложные социальные проблемы через увлекательное повествование.",1939,4.4
Воспоминания пяти элементов,Габриэль Гарсиа Маркес,Комедия,"Книга, которая изменила представление о жанре комедия и принесла Габриэль Гарсиа Маркес мировую известность.",1974,3.6
Ненависть железного века,Умберто Эко,Приключения,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2000,3.5
Выбор янтарного солнца,Донна Тартт,Научная литература,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная литература.",1850,3.2
Отчаяние алмазной горы,Чимаманда Нгози Адичи,Научная литература,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Чимаманда Нгози Адичи.,1908,3.5
Звезда далеких миров,Марк Твен,Ужасы,"Одно из лучших произведений Марк Твен, ставшее классикой жанра ужасы.",1900,4.8
Путешествие заката,Александр Пушкин,Роман,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1909,3.0
Мечта темной души,Иван Тургенев,Фэнтези,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2011,3.2
Письма солнцестояния,Ханья Янагихара,Научная фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная фантастика.",1828,4.3
Мир новолуния,Анна Ахматова,Поэзия,"Книга, которая изменила представление о жанре поэзия и принесла Анна Ахматова мировую известность.",1884,3.3
Весна одинокого сердца,Андрей Платонов,Роман,"Одно из лучших произведений Андрей Платонов, ставшее классикой жанра роман.",1895,4.1
Война мгновения,Алексей Иванов,Сказка,"Одно из лучших произведений Алексей Иванов, ставшее классикой жанра сказка.",1825,4.9
Легкость,Джон Стейнбек,Мистика,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1804,4.0
Меланхолия,Джоан Роулинг,Мистика,"История о любви, предательстве и искуплении, мастерски рассказанная Джоан Роулинг.",1814,3.3
Город шести чувств,Пауло Коэльо,Боевик,"Книга, которая изменила представление о жанре боевик и принесла Пауло Коэльо мировую известность.",1839,3.5
Радость трех сестер,Харуки Мураками,Ужасы,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Харуки Мураками.,1855,4.4
Замок,Александр Солженицын,Биография,"История о любви, предательстве и искуплении, мастерски рассказанная Александр Солженицын.",1959,3.8
Игра серебряного века,Виктор Пелевин,Фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях фантастика.",1876,3.4
Полночь великих открытий,Джек Лондон,Классика,"Произведение, в котором Джек Лондон раскрывает сложные социальные проблемы через увлекательное повествование.",1952,4.9
Печаль белого лотоса,Харуки Мураками,Комедия,"Одно из лучших произведений Харуки Мураками, ставшее классикой жанра комедия.",1800,3.0
Тошнота,Дмитрий Глуховский,Фантастика,"Произведение, в котором Дмитрий Глуховский раскрывает сложные социальные проблемы через увлекательное повествование.",1991,1.8
Лето семи грехов,Стивен Кинг,Психология,"Произведение, в котором Стивен Кинг раскрывает сложные социальные проблемы через увлекательное повествование.",1815,4.4
Река трех сестер,Томас Манн,Комедия,"Книга, которая изменила представление о жанре комедия и принесла Томас Манн мировую известность.",1840,4.1
Солнце восьми благословений,Джон Стейнбек,Психология,"Произведение, в котором Джон Стейнбек раскрывает сложные социальные проблемы через увлекательное повествование.",1858,4.1
Легенда вечности,Элис Манро,Фэнтези,"Захватывающее произведение Элис Манро в жанре фэнтези, рассказывающее о приключениях главных героев.",1800,4.3
История древних цивилизаций,Иван Тургенев,Ужасы,"Произведение, в котором Иван Тургенев раскрывает сложные социальные проблемы через увлекательное повествование.",2009,4.1
Превращение,Маргарет Этвуд,Драма,"Захватывающее произведение Маргарет Этвуд в жанре драма, рассказывающее о приключениях главных героев.",1859,1.1
Надежда великих открытий,Умберто Эко,Боевик,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1862,4.4
Осень железного века,Кадзуо Исигуро,Драма,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях драма.",1811,3.7
Закат темной души,Борис Пастернак,Научная фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная фантастика.",1935,4.1
Море десяти заповедей,Марина Цветаева,Научная фантастика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Марина Цветаева.,1981,4.4
Отчаяние бронзового века,Федор Достоевский,Детектив,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Федор Достоевский.,1813,3.8
Мир,Джордж Оруэлл,Философия,"Одно из лучших произведений Джордж Оруэлл, ставшее классикой жанра философия.",1858,2.8
Шепот,Вирджиния Вулф,Детектив,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях детектив.",1844,5.0
Закат белого лотоса,Чарльз Диккенс,Биография,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1866,4.3
Мир новолуния,Сергей Есенин,Психология,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях психология.",1823,4.4
Выбор семи королевств,Харуки Мураками,Фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях фантастика.",1843,4.2
Воспоминания ста лет,Малкольм Гладуэлл,Философия,"Захватывающее произведение Малкольм Гладуэлл в жанре философия, рассказывающее о приключениях главных героев.",1999,3.0
Чувства,Татьяна Толстая,Научная литература,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная литература.",1917,4.8
Превращение,Кадзуо Исигуро,Фэнтези,Книга 'Превращение' - это глубокое исследование человеческой природы через призму фэнтези.,1874,4.5
Чувства,Михаил Шолохов,Фэнтези,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Михаил Шолохов.,1890,2.4
Дневник семи королевств,Франц Кафка,Детектив,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях детектив.",1806,3.8
Имя,Умберто Эко,Ужасы,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Умберто Эко.,1999,4.1
Полночь последнего дождя,Франц Кафка,Фэнтези,"История о любви, предательстве и искуплении, мастерски рассказанная Франц Кафка.",1916,3.7
Ненависть тысячи планет,Иван Тургенев,Научная литература,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1910,4.3
Исповедь равноденствия,Ханья Янагихара,Комедия,"Книга, которая изменила представление о жанре комедия и принесла Ханья Янагихара мировую известность.",1820,3.0
Дневник янтарного солнца,Малкольм Гладуэлл,Мистика,"Захватывающее произведение Малкольм Гладуэлл в жанре мистика, рассказывающее о приключениях главных героев.",1996,3.3
Хроники семи грехов,Марина Цветаева,Триллер,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1869,1.1
История железного века,Иван Тургенев,Комедия,"История о любви, предательстве и искуплении, мастерски рассказанная Иван Тургенев.",1910,2.0
Лабиринт,Маргарет Этвуд,Психология,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях психология.",1825,3.1
Дар белого лотоса,Харуки Мураками,Классика,Книга 'Дар белого лотоса' - это глубокое исследование человеческой природы через призму классика.,1960,3.8
Дом четырех стихий,Василий Гроссман,Роман,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1919,3.6
Земля золотого века,Виктор Пелевин,Поэзия,"Произведение, в котором Виктор Пелевин раскрывает сложные социальные проблемы через увлекательное повествование.",2014,3.1
Маргарита,Нил Гейман,Философия,"Захватывающее произведение Нил Гейман в жанре философия, рассказывающее о приключениях главных героев.",1869,4.6
Шепот,Сергей Есенин,Детектив,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Сергей Есенин.,1908,4.6
Дар сапфирового моря,Иван Тургенев,Сказка,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях сказка.",1804,2.9
Исповедь жемчужной реки,Татьяна Толстая,Ужасы,"Книга, которая изменила представление о жанре ужасы и принесла Татьяна Толстая мировую известность.",1864,4.4
Сад тысячи планет,Михаил Шолохов,Психология,"Книга, которая изменила представление о жанре психология и принесла Михаил Шолохов мировую известность.",1927,3.1
Дар тысячи планет,Дэн Браун,Роман,"Произведение, в котором Дэн Браун раскрывает сложные социальные проблемы через увлекательное повествование.",1888,1.6
Война тысячи планет,Мо Янь,Драма,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях драма.",2001,4.3
Слепота,Харуки Мураками,Классика,"Произведение, в котором Харуки Мураками раскрывает сложные социальные проблемы через увлекательное повествование.",1886,4.1
Море янтарного солнца,Юваль Ной Харари,Классика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Юваль Ной Харари.,1913,4.4
Война забытых предков,Салман Рушди,Драма,"Произведение, в котором Салман Рушди раскрывает сложные социальные проблемы через увлекательное повествование.",1942,3.2
Антиутопия,Эрнест Хемингуэй,Биография,"Книга, которая изменила представление о жанре биография и принесла Эрнест Хемингуэй мировую известность.",1975,3.4
Маятник,Габриэль Гарсиа Маркес,Классика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях классика.",1836,2.5
Шепот,Альбер Камю,Поэзия,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Альбер Камю.,1991,3.3
Бессмертие,Антон Чехов,Классика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1974,3.0
Отчаяние,Татьяна Толстая,Триллер,"Захватывающее произведение Татьяна Толстая в жанре триллер, рассказывающее о приключениях главных героев.",1967,3.8
Прозрение,Нил Гейман,Научная литература,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Нил Гейман.,1845,3.7
Письма светлого будущего,Альбер Камю,Сказка,"История о любви, предательстве и искуплении, мастерски рассказанная Альбер Камю.",2024,4.6
Крик,Умберто Эко,Триллер,"Книга, которая изменила представление о жанре триллер и принесла Умберто Эко мировую известность.",1959,4.9
Меланхолия,Владимир Набоков,Триллер,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1887,4.8
Сказание семи грехов,Лев Толстой,Фантастика,Книга 'Сказание семи грехов' - это глубокое исследование человеческой природы через призму фантастика.,1801,3.2
Процесс,Николай Гоголь,Биография,"История о любви, предательстве и искуплении, мастерски рассказанная Николай Гоголь.",1970,3.3
Полдень двух столиц,Франц Кафка,Комедия,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях комедия.",1973,4.7
Взлет,Анна Ахматова,Ужасы,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Анна Ахматова.,1946,3.2
Время,Антон Чехов,Сказка,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1909,3.4
Жизнь семи грехов,Федор Достоевский,Биография,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях биография.",1842,4.9
Маргарита,Михаил Шолохов,Классика,Книга 'Маргарита' - это глубокое исследование человеческой природы через призму классика.,1944,4.1
Гордость,Николай Гоголь,Фэнтези,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1827,3.4
Смерть светлого будущего,Вирджиния Вулф,Биография,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1834,3.8
Антиутопия,Джордж Оруэлл,Поэзия,"Одно из лучших произведений Джордж Оруэлл, ставшее классикой жанра поэзия.",1829,4.2
Солнце темной души,Федор Достоевский,Фантастика,"Захватывающее произведение Федор Достоевский в жанре фантастика, рассказывающее о приключениях главных героев.",1803,4.0
Шепот,Гузель Яхина,Фантастика,Книга 'Шепот' - это глубокое исследование человеческой природы через призму фантастика.,1982,3.1
Процесс,Эрнест Хемингуэй,Боевик,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1973,1.3
Письма прошлых жизней,Виктор Пелевин,Мистика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1941,4.8
Отчаяние забытых предков,Иван Тургенев,Биография,"Захватывающее произведение Иван Тургенев в жанре биография, рассказывающее о приключениях главных героев.",1872,4.5
Полночь алмазной горы,Джордж Мартин,Фэнтези,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Джордж Мартин.,1882,4.5
Исповедь десяти заповедей,Джеймс Джойс,Ужасы,"Захватывающее произведение Джеймс Джойс в жанре ужасы, рассказывающее о приключениях главных героев.",1812,4.7
Письма сапфирового моря,Иосиф Бродский,Мистика,"Одно из лучших произведений Иосиф Бродский, ставшее классикой жанра мистика.",1834,4.6
Меланхолия,Сергей Есенин,Боевик,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1955,3.7
Процесс,Джордж Оруэлл,Философия,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Джордж Оруэлл.,1891,4.6
Воспоминания параллельных вселенных,Александр Пушкин,Ужасы,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1990,3.9
Путешествие полнолуния,Ханья Янагихара,Драма,"Произведение, в котором Ханья Янагихара раскрывает сложные социальные проблемы через увлекательное повествование.",1842,1.7
Лабиринт,Анна Ахматова,Биография,"Одно из лучших произведений Анна Ахматова, ставшее классикой жанра биография.",2004,4.1
Луна семи грехов,Харуки Мураками,Классика,"Книга, которая изменила представление о жанре классика и принесла Харуки Мураками мировую известность.",1877,3.0
Бытие,Александр Пушкин,Приключения,"Произведение, в котором Александр Пушкин раскрывает сложные социальные проблемы через увлекательное повествование.",1847,4.5
Весна темной души,Владимир Набоков,Психология,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях психология.",1977,4.1
Меланхолия,Татьяна Толстая,Боевик,"Книга, которая изменила представление о жанре боевик и принесла Татьяна Толстая мировую известность.",1906,3.4
Мир солнцестояния,Татьяна Толстая,Сказка,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1961,3.9
Печаль рубинового леса,Джонатан Франзен,Научная литература,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная литература.",1931,4.8
Гора четырех стихий,Габриэль Гарсиа Маркес,Философия,"Захватывающее произведение Габриэль Гарсиа Маркес в жанре философия, рассказывающее о приключениях главных героев.",1855,3.3
Шепот,Борис Акунин,Психология,Книга 'Шепот' - это глубокое исследование человеческой природы через призму психология.,1902,3.6
Дар темной души,Александр Пушкин,Мистика,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Александр Пушкин.,1924,3.5
Письма первого снега,Оскар Уайльд,Детектив,Книга 'Письма первого снега' - это глубокое исследование человеческой природы через призму детектив.,1987,3.2
Звезда одинокого сердца,Колсон Уайтхед,Драма,"Произведение, в котором Колсон Уайтхед раскрывает сложные социальные проблемы через увлекательное повествование.",1911,3.6
Путешествие красной розы,Виктор Пелевин,Боевик,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях боевик.",1813,3.5
Чувства,Юваль Ной Харари,Биография,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях биография.",1856,3.6
Преступление,Томас Манн,Драма,"Произведение, в котором Томас Манн раскрывает сложные социальные проблемы через увлекательное повествование.",1869,3.8
Лето вечности,Оскар Уайльд,Комедия,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",1918,4.4
Война вечности,Марк Твен,Фэнтези,"Захватывающее произведение Марк Твен в жанре фэнтези, рассказывающее о приключениях главных героев.",1895,3.6
Королевство ста лет,Александр Солженицын,Фэнтези,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1812,3.3
Закат железного века,Татьяна Толстая,Научная литература,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная литература.",2011,5.0
Легкость,Лев Толстой,Приключения,"Одно из лучших произведений Лев Толстой, ставшее классикой жанра приключения.",1894,3.3
Сон шести чувств,Нил Гейман,Ужасы,"Книга, получившая множество литературных премий и признание критиков во всем мире.",2002,4.1
Отчаяние девяти кругов,Джейн Остин,Психология,"Философское произведение, заставляющее задуматься о смысле жизни и человеческих ценностях.",2001,4.6
Разум,Иван Тургенев,Фантастика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1876,3.5
Зима одинокого сердца,Лев Толстой,Мистика,"Захватывающее произведение Лев Толстой в жанре мистика, рассказывающее о приключениях главных героев.",1970,4.8
Дом далеких миров,Юваль Ной Харари,Боевик,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1869,5.0
Закат семи королевств,Ханья Янагихара,Роман,Книга 'Закат семи королевств' - это глубокое исследование человеческой природы через призму роман.,1910,3.4
Луна тысячи дней,Умберто Эко,Роман,"Произведение, в котором Умберто Эко раскрывает сложные социальные проблемы через увлекательное повествование.",1844,3.5
История бронзового века,Николай Гоголь,Ужасы,"Книга, которая изменила представление о жанре ужасы и принесла Николай Гоголь мировую известность.",1870,3.6
Разум,Сергей Есенин,Научная фантастика,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1894,3.8
Дневник пяти элементов,Андрей Платонов,Роман,"Книга, получившая множество литературных премий и признание критиков во всем мире.",1995,3.4
Наследие железного века,Виктор Пелевин,Научная фантастика,"Захватывающее произведение Виктор Пелевин в жанре научная фантастика, рассказывающее о приключениях главных героев.",1967,4.9
Звезда изумрудного города,Милан Кундера,История,Увлекательный сюжет и яркие персонажи делают эту книгу настоящей жемчужиной творчества Милан Кундера.,1823,3.7
Небо белого лотоса,Вирджиния Вулф,Фантастика,"Одно из лучших произведений Вирджиния Вулф, ставшее классикой жанра фантастика.",1950,2.7
Лето рассвета,Сергей Есенин,Классика,"Захватывающее произведение Сергей Есенин в жанре классика, рассказывающее о приключениях главных героев.",2020,3.7
Имя,Андрей Платонов,Детектив,"Книга, которая изменила представление о жанре детектив и принесла Андрей Платонов мировую известность.",2021,4.8
Море белого лотоса,Людмила Улицкая,Научная фантастика,"Увлекательное повествование, раскрывающее тайны и загадки в лучших традициях научная фантастика.",1917,3.1
Легенда одинокого сердца,Людмила Улицкая,Научная фантастика,Книга 'Легенда одинокого сердца' - это глубокое исследование человеческой природы через призму научная фантастика.,1935,4.9
